"sip","sport","dip","dport","proto","first_timestamp","total_time","pkt_fwd_count","pl_fwd_count","last_timestamp_fwd","pl_len_fwd_mean","pl_len_fwd_stdev","pl_len_fwd_total","pl_len_fwd_min","pl_len_fwd_max","pkt_len_fwd_mean","pkt_len_fwd_stdev","pkt_len_fwd_total","pkt_len_fwd_min","pkt_len_fwd_max","pkt_bwd_count","pl_bwd_count","last_timestamp_bwd","pl_len_bwd_mean","pl_len_bwd_stdev","pl_len_bwd_total","pl_len_bwd_min","pl_len_bwd_max","pkt_len_bwd_mean","pkt_len_bwd_stdev","pkt_len_bwd_total","pkt_len_bwd_min","pkt_len_bwd_max","dd","dn","dns","ds","application","app","traffic_type","label"
"192.168.0.131",57840,"52.23.25.235",443,6,1721793728997430,677122,8,2,1721793729674552,951,397,1902,554,1348,286.75,458.76675,2294,40,1400,8,4,1721793729494287,1084.5,456.3954,4338,294,1348,595.25,630.1634,4762,52,1400,"Unknown","Amazon","events.launchdarkly.com","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57841,"52.23.25.235",443,6,1721793729048607,622419,7,2,1721793729671026,919,429,1838,490,1348,312.85715,475.29102,2190,40,1400,8,4,1721793729490707,1085,455.52936,4340,296,1348,595.5,630.0649,4764,52,1400,"Unknown","Amazon","events.launchdarkly.com","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57842,"52.23.25.235",443,6,1721793729048655,620153,7,2,1721793729668808,967,381,1934,586,1348,326.57144,483.027,2286,40,1400,8,4,1721793729490890,1084.75,455.96243,4339,295,1348,595.375,630.1141,4763,52,1400,"Unknown","Amazon","events.launchdarkly.com","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57843,"52.23.25.235",443,6,1721793729048705,622609,6,2,1721793729671314,919,429,1838,490,1348,358.33334,499.07437,2150,40,1400,7,4,1721793729491166,1085,455.52936,4340,296,1348,673.1429,636.7622,4712,52,1400,"Unknown","Amazon","events.launchdarkly.com","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57844,"52.23.25.235",443,6,1721793729059218,612128,8,2,1721793729671346,919,429,1838,490,1348,278.75,453.6595,2230,40,1400,7,4,1721793729491346,1084.75,455.96243,4339,295,1348,673,636.83527,4711,52,1400,"Unknown","Amazon","events.launchdarkly.com","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.65",61884,"142.251.36.238",443,17,1721793729779977,314363,28,28,1721793730091151,454,550.1889,12712,29,1250,482,550.18896,13496,57,1278,26,26,1721793730094340,346.69232,458.06052,9014,22,1250,374.69232,458.06052,9742,50,1278,"Youtube","Google","www.youtube.com/youtube-ui.l.google.com","Google","Google","Instagram","Unknown","dns"
"192.168.0.65",63293,"142.251.36.163",443,17,1721793730090997,12588303,32,32,1721793742679300,477.75,564.39,15288,31,1250,505.75,564.39,16184,59,1278,34,34,1721793742678523,442.11765,526.37933,15032,21,1250,470.11765,526.3791,15984,49,1278,"Youtube","Google","beacons.gcp.gvt2.com/beacons-handoff.gcp.gvt2.com","Unknown","Youtube","Snapchat","Unknown","dns"
"192.168.0.65",56255,"172.217.16.164",443,17,1721793730097834,73653,24,24,1721793730171487,455.5,562.08295,10932,31,1250,483.5,562.08295,11604,59,1278,24,24,1721793730170808,373.33334,471.57526,8960,22,1250,401.33334,471.57523,9632,50,1278,"Google","Google","www.google.com","Google","Google","Snapchat","Unknown","dns"
"192.168.0.65",58254,"192.168.0.1",53,6,1721793730136666,35632,6,2,1721793730172298,18.5,16.5,37,2,35,48.166668,12.733378,289,40,75,6,1,1721793730172188,53,0,53,53,53,50.833332,19.359898,305,40,93,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.65",58255,"192.168.0.1",53,6,1721793730136759,35977,6,2,1721793730172736,18.5,16.5,37,2,35,48.166668,12.733378,289,40,75,6,1,1721793730172516,94,0,94,94,94,57.666668,34.41737,346,40,134,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.65",50060,"142.251.36.227",443,17,1721793730173514,95202,24,24,1721793730268716,305.08334,444.64188,7322,31,1250,333.08334,444.64188,7994,59,1278,30,30,1721793730267955,333.06668,454.1783,9992,21,1250,361.06668,454.17828,10832,49,1278,"Youtube","Google","beacons3.gvt2.com","Google","Google","Unknown","Unknown","dns"
"192.168.0.65",55732,"172.217.16.170",443,17,1721793730412411,84214,30,30,1721793730496625,654.6667,581.68256,19640,31,1250,682.6667,581.68256,20480,59,1278,32,32,1721793730495696,457.625,515.36005,14644,22,1250,485.625,515.36005,15540,50,1278,"Google Docs","Google","drivefrontend-pa.googleapis.com","Google","Google","Unknown","Unknown","dns"
"192.168.0.160",55969,"172.217.16.174",443,17,1721793730600403,115738,24,24,1721793730712897,672.1667,582.8494,16132,31,1250,700.1667,582.8494,16804,59,1278,24,24,1721793730716141,390,461.0374,9360,24,1250,418,461.0374,10032,52,1278,"Google","Google","play.google.com","Google","Google","Unknown","Unknown","dns"
"192.168.0.65",49855,"142.251.37.3",443,17,1721793730612052,65468,18,18,1721793730677520,402.66666,514.23517,7248,31,1250,430.66666,514.23517,7752,59,1278,22,22,1721793730655276,409.63635,480.972,9012,22,1250,437.63635,480.972,9628,50,1278,"Google","Google","ssl.gstatic.com","Unknown","Google","Snapchat","Unknown","dns"
"192.168.0.119",64589,"192.168.0.1",53,17,1721793735028214,324,2,2,1721793735028214,52,0,104,52,52,80,0,160,80,80,2,2,1721793735028538,52,0,104,52,52,80,0,160,80,80,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.65",63934,"192.168.0.1",53,17,1721793738530296,50182890,10,10,1721793788710372,39.8,5.491815,398,35,47,67.8,5.4917817,678,63,75,10,10,1721793788713186,143.8,25.031153,1438,116,189,171.8,25.03119,1718,144,217,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
